round,slate,clicks,binary_reward,soft_score
0,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 0, 1, 0, 1, 1, 0, 1, 1]",1,5
1,"[503, 440, 310, 254, 530, 193, 287, 859, 739, 882]","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",1,3
2,"[303, 648, 233, 141, 363, 753, 315, 833, 33, 855]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",1,2
3,"[762, 837, 437, 574, 491, 785, 305, 810, 636, 703]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
4,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 0, 1, 0, 0, 1, 0]",1,5
5,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",1,5
6,"[561, 194, 405, 369, 255, 510, 94, 169, 246, 226]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
7,"[218, 296, 13, 151, 993, 195, 334, 530, 783, 818]","[0, 1, 1, 0, 1, 1, 0, 1, 0, 0]",1,5
8,"[396, 320, 275, 357, 863, 517, 834, 732, 891, 69]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,1
9,"[944, 848, 818, 75, 444, 707, 415, 856, 692, 832]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",1,3
10,"[656, 837, 406, 4, 858, 973, 790, 659, 363, 646]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1,2
11,"[663, 298, 541, 720, 603, 191, 457, 157, 92, 287]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,2
12,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",1,7
13,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 1, 1, 0, 0, 1, 1]",1,7
14,"[126, 485, 107, 71, 731, 605, 255, 902, 184, 633]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,1
15,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 0, 1, 1, 0, 1, 0, 1]",1,6
16,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",1,9
17,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1,3
18,"[958, 10, 525, 200, 637, 534, 373, 414, 588, 246]","[0, 1, 0, 1, 0, 1, 0, 0, 0, 1]",1,4
19,"[167, 953, 428, 98, 543, 350, 399, 254, 802, 174]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,1
20,"[680, 232, 104, 528, 574, 21, 54, 820, 103, 298]","[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",1,4
21,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 1, 1, 0, 1, 1, 1, 1]",1,8
22,"[756, 938, 25, 928, 943, 305, 43, 527, 484, 71]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,1
23,"[81, 782, 925, 89, 100, 78, 663, 971, 472, 2]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,1
24,"[328, 188, 969, 473, 98, 909, 326, 761, 788, 517]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,1
25,"[672, 537, 134, 371, 458, 749, 611, 518, 98, 77]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,1
26,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 0, 1, 0, 1, 0, 0, 1, 1]",1,5
27,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 1]",1,7
28,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",1,8
29,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 1, 1, 1, 1, 1, 0, 1, 0, 0]",1,6
30,"[760, 313, 345, 700, 66, 908, 585, 52, 19, 337]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,2
31,"[226, 806, 703, 897, 241, 551, 357, 225, 826, 467]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1,2
32,"[454, 330, 343, 520, 878, 784, 592, 907, 390, 11]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",1,2
33,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",1,9
34,"[111, 69, 715, 747, 396, 990, 138, 646, 473, 884]","[0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",1,3
35,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[0, 0, 1, 1, 0, 0, 0, 1, 1, 0]",1,4
36,"[987, 67, 628, 193, 800, 921, 893, 528, 391, 945]","[1, 1, 0, 0, 0, 1, 1, 0, 1, 0]",1,5
37,"[296, 968, 408, 227, 431, 553, 180, 520, 401, 771]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,1
